ID	NPS	Energy1	Energy2
467	6679	0.031	0.19704
468	6703	0.031	0.19557
469	6726	0.031	0.19102
470	6744	0.031	0.19713
471	6819	0.031	0.19589
472	6821	0.031	0.19842
473	6823	0.031	0.19392
474	6830	0.031	0.19752
475	6852	0.031	0.19495
476	6853	0.031	0.1926
477	6873	0.031	0.19608
478	6877	0.031	0.19705
479	6882	0.031	0.19
480	6887	0.031	0.18139
481	6892	0.031	0.19857
482	6959	0.031	0.19391
483	7008	0.031	0.19884
484	7024	0.031	0.19871
485	7031	0.031	0.19873
486	7053	0.031	0.18094
487	7066	0.031	0.19698
488	7111	0.031	0.19778
489	7129	0.031	0.18357
490	7141	0.031	0.19745
491	7154	0.031	0.19074
492	7157	0.031	0.19746
493	7163	0.031	0.19675
494	7164	0.031	0.19767
495	7193	0.031	0.19446
496	7200	0.031	0.19669
497	7203	0.031	0.18604
498	7210	0.031	0.19566
499	7217	0.029335	0.19506
500	7219	0.031	0.19547
501	7239	0.031	0.19826
502	7259	0.031	0.19622
503	7275	0.031	0.19499
504	7284	0.031	0.19662
505	7300	0.031	0.19739
506	7327	0.031	0.19792
507	7330	0.031	0.19555
508	7386	0.031	0.19874
509	7398	0.031	0.19409
510	7405	0.031	0.19815
511	7406	0.031	0.19815
512	7430	0.031	0.19854
513	7445	0.031	0.19746
514	7453	0.031	0.1971
515	7460	0.031	0.19328
516	7529	0.031	0.19238
517	7554	0.031	0.19283
518	7559	0.031	0.19461
519	7566	0.031	0.19847
520	7597	0.031	0.19381
521	7603	0.031	0.19777
522	7609	0.031	0.19805
523	7654	0.031	0.19617
524	7655	0.031	0.19423
525	7671	0.031	0.19804
526	7699	0.031	0.19776
527	7710	0.031	0.17533
528	7712	0.031	0.19392
529	7716	0.031	0.19456
530	7735	0.031	0.19754
531	7737	0.031	0.19629
532	7752	0.031	0.18921
533	7753	0.031	0.19872
534	7757	0.031	0.18151
535	7759	0.031	0.1937
536	7768	0.031	0.17927
537	7797	0.031	0.18926
538	7824	0.031	0.19063
539	7825	0.031	0.17641
540	7837	0.031	0.19217
541	7875	0.031	0.1969
542	7884	0.031	0.19742
543	7909	0.031	0.19816
544	7985	0.031	0.19298
545	7989	0.031	0.19845
546	8007	0.031	0.19478
547	8015	0.031	0.19865
548	8027	0.031	0.18053
549	8030	0.031	0.19849
550	8031	0.031	0.17637
551	8044	0.031	0.19563
552	8056	0.031	0.19538
553	8061	0.031	0.14722
554	8066	0.031	0.19521
555	8092	0.031	0.19605
556	8094	0.031	0.19646
557	8098	0.031	0.18261
558	8099	0.031	0.18942
559	8109	0.031	0.195
560	8128	0.031	0.18498
561	8135	0.031	0.19299
562	8138	0.031	0.19614
563	8154	0.031	0.19871
564	8162	0.031	0.19669
565	8175	0.031	0.19439
566	8179	0.031	0.19699
567	8206	0.031	0.19744
568	8207	0.031	0.19294
569	8222	0.031	0.19674
570	8249	0.031	0.19738
571	8256	0.031	0.19723
572	8260	0.031	0.19794
573	8267	0.031	0.19347
574	8270	0.031	0.18856
575	8285	0.031	0.18632
576	8305	0.031	0.19692
577	8324	0.031	0.19317
578	8330	0.031	0.19895
579	8386	0.031	0.19272
580	8401	0.031	0.19496
581	8405	0.031	0.19768
582	8407	0.031	0.19619
583	8408	0.031	0.19793
584	8435	0.031	0.19719
585	8450	0.031	0.1981
586	8466	0.031	0.1842
587	8467	0.031	0.19885
588	8476	0.031	0.19862
589	8496	0.031	0.18905
590	8514	0.031	0.19677
591	8528	0.031	0.18714
592	8531	0.031	0.18521
593	8588	0.031	0.19896
594	8593	0.031	0.19841
595	8614	0.031	0.19103
596	8622	0.031	0.19418
597	8640	0.031	0.19772
598	8653	0.031	0.19144
599	8665	0.031	0.19753
600	8671	0.028136	0.19865
601	8685	0.031	0.19547
602	8746	0.031	0.19889
603	8750	0.031	0.19701
604	8790	0.031	0.19886
